,"ABM Campaign Planner - organized at job-title level. EVERY distinct title mentioned in Economic Buyer, Champion, or Influencer/User gets its own cluster/campaign, even if it appears only once - a use case can belong to more than one title's cluster. Each cluster's whole email sequence launches as ONE campaign per region on its scheduled day, and only for regions the source data actually names for that use case (see Target Geography column) - before Rakesh's US Master Calendar resumes.",,,,,,,,,,,,,,,,
Campaign Status,Date,Day,Owner,Region,Target Geography (this send),Persona (Job Title),Priority,Stream,Product(s),Sequence Length,Use Cases Covered (Buyer / Champion / Influencer-User),Campaign Name,Audience / Target List,Status,Date Live,Date Done,Notes
12. Fitness challenges / stepathons - Buyer: CHRO / Head of Wellbeing | Champion: Engagement / Experience head | Influencer/User: HRBP, HR manager",P1_ABM_ICPSEQ-CHRO-EMPULS_US_EMAIL-LI_abmteam_31JUL26,CHRO (Empuls) buyer segment (12 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'CHRO' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 12 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,31-Jul-2026,Fri,ABM Team,ROW,"India, Middle East, SEA, Africa",CHRO (Empuls),P1,ICP Persona Sequence,Empuls,15 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Total Rewards Strategy - Buyer: CHRO / CPO | Champion: Head of Total Rewards / Comp & Benefits | Influencer/User: VP HR, HR Head
3. Service milestone & anniversary rewards - Buyer: CHRO / Head of Total Rewards | Champion: HR Ops lead | Influencer/User: Procurement head, HR admin / manager
4. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
5. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team
6. Employee engagement, experience & culture - Buyer: CHRO / CPO | Champion: Head of Employee Experience / People & Culture | Influencer/User: HRBP, engagement managers
7. Surveys, feedback, eNPS, moodometer, conversational agent - Buyer: CHRO | Champion: People Analytics / EX lead | Influencer/User: HRBP, engagement team
8. AI people-insights & analytics - Buyer: CHRO | Champion: People Analytics lead | Influencer/User: HRBP, HR Ops
9. Social intranet & internal communications - Buyer: CPO / CHRO (or Head of Comms) | Champion: Head of Internal Communications | Influencer/User: Corporate comms manager, IT
10. Frontline / deskless workforce - Buyer: COO / Operations Head (CHRO co-sign) | Champion: VP People / People Ops | Influencer/User: HR Director, engagement lead, site/field managers
11. Fitness challenges / stepathons - Buyer: CHRO / Head of Wellbeing | Champion: Engagement / Experience head | Influencer/User: HRBP, HR manager",P1_ABM_ICPSEQ-CHRO-EMPULS_ROW_EMAIL-LI_abmteam_31JUL26,CHRO (Empuls) buyer segment (11 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'CHRO' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (1 of 12 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,31-Jul-2026,Fri,ABM Team,Global,Europe + rest of world,CHRO (Empuls),P1,ICP Persona Sequence,Empuls,12 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Total Rewards Strategy - Buyer: CHRO / CPO | Champion: Head of Total Rewards / Comp & Benefits | Influencer/User: VP HR, HR Head
3. Service milestone & anniversary rewards - Buyer: CHRO / Head of Total Rewards | Champion: HR Ops lead | Influencer/User: Procurement head, HR admin / manager
4. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
5. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team
6. Lifestyle spending accounts & fringe benefits - Buyer: Head of Total Rewards / CHRO | Champion: Benefits Head / Benefits Manager | Influencer/User: Comp & benefits team, Finance / payroll
7. Employee engagement, experience & culture - Buyer: CHRO / CPO | Champion: Head of Employee Experience / People & Culture | Influencer/User: HRBP, engagement managers
8. Surveys, feedback, eNPS, moodometer, conversational agent - Buyer: CHRO | Champion: People Analytics / EX lead | Influencer/User: HRBP, engagement team
9. AI people-insights & analytics - Buyer: CHRO | Champion: People Analytics lead | Influencer/User: HRBP, HR Ops
10. Social intranet & internal communications - Buyer: CPO / CHRO (or Head of Comms) | Champion: Head of Internal Communications | Influencer/User: Corporate comms manager, IT
11. Frontline / deskless workforce - Buyer: COO / Operations Head (CHRO co-sign) | Champion: VP People / People Ops | Influencer/User: HR Director, engagement lead, site/field managers
12. Fitness challenges / stepathons - Buyer: CHRO / Head of Wellbeing | Champion: Engagement / Experience head | Influencer/User: HRBP, HR manager",P1_ABM_ICPSEQ-CHRO-EMPULS_GLOBAL_EMAIL-LI_abmteam_31JUL26,CHRO (Empuls) buyer segment (12 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'CHRO' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 12 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
Live,03-Aug-2026,Mon,ABM Team,US,USA,Head of Total Rewards (Empuls),P1,ICP Persona Sequence,Empuls,12 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Total Rewards Strategy - Buyer: CHRO / CPO | Champion: Head of Total Rewards / Comp & Benefits | Influencer/User: VP HR, HR Head
3. Service milestone & anniversary rewards - Buyer: CHRO / Head of Total Rewards | Champion: HR Ops lead | Influencer/User: Procurement head, HR admin / manager
4. Employee gifting (onboarding, festivals, birthdays) - Buyer: Head of Total Rewards / HR Ops | Champion: HR Ops / HR manager | Influencer/User: Procurement head, HR admin
5. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
6. Rewards catalog & global fulfillment - Buyer: Head of Total Rewards / Procurement | Champion: HR Ops | Influencer/User: Comp & benefits team
7. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team
8. Lifestyle spending accounts & fringe benefits - Buyer: Head of Total Rewards / CHRO | Champion: Benefits Head / Benefits Manager | Influencer/User: Comp & benefits team, Finance / payroll",P1_ABM_ICPSEQ-HEAD-OF-TOTAL-REWARD_US_EMAIL-LI_abmteam_03AUG26,Head of Total Rewards (Empuls) buyer segment (8 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'Head of Total Rewards' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 8 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,03-Aug-2026,Mon,ABM Team,ROW,"India, Middle East, SEA, Africa",Head of Total Rewards (Empuls),P1,ICP Persona Sequence,Empuls,10 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Total Rewards Strategy - Buyer: CHRO / CPO | Champion: Head of Total Rewards / Comp & Benefits | Influencer/User: VP HR, HR Head
3. Service milestone & anniversary rewards - Buyer: CHRO / Head of Total Rewards | Champion: HR Ops lead | Influencer/User: Procurement head, HR admin / manager
4. Employee gifting (onboarding, festivals, birthdays) - Buyer: Head of Total Rewards / HR Ops | Champion: HR Ops / HR manager | Influencer/User: Procurement head, HR admin
5. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
6. Rewards catalog & global fulfillment - Buyer: Head of Total Rewards / Procurement | Champion: HR Ops | Influencer/User: Comp & benefits team
7. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team",P1_ABM_ICPSEQ-HEAD-OF-TOTAL-REWARD_ROW_EMAIL-LI_abmteam_03AUG26,Head of Total Rewards (Empuls) buyer segment (7 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'Head of Total Rewards' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (1 of 8 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,03-Aug-2026,Mon,ABM Team,Global,Europe + rest of world,Head of Total Rewards (Empuls),P1,ICP Persona Sequence,Empuls,10 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Total Rewards Strategy - Buyer: CHRO / CPO | Champion: Head of Total Rewards / Comp & Benefits | Influencer/User: VP HR, HR Head
3. Service milestone & anniversary rewards - Buyer: CHRO / Head of Total Rewards | Champion: HR Ops lead | Influencer/User: Procurement head, HR admin / manager
4. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
5. Rewards catalog & global fulfillment - Buyer: Head of Total Rewards / Procurement | Champion: HR Ops | Influencer/User: Comp & benefits team
6. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team
7. Lifestyle spending accounts & fringe benefits - Buyer: Head of Total Rewards / CHRO | Champion: Benefits Head / Benefits Manager | Influencer/User: Comp & benefits team, Finance / payroll",P1_ABM_ICPSEQ-HEAD-OF-TOTAL-REWARD_GLOBAL_EMAIL-LI_abmteam_03AUG26,Head of Total Rewards (Empuls) buyer segment (7 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'Head of Total Rewards' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (1 of 8 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,04-Aug-2026,Tue,ABM Team,US,USA,HRBP (Empuls),P1,ICP Persona Sequence,Empuls,9 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
3. Employee engagement, experience & culture - Buyer: CHRO / CPO | Champion: Head of Employee Experience / People & Culture | Influencer/User: HRBP, engagement managers
4. Surveys, feedback, eNPS, moodometer, conversational agent - Buyer: CHRO | Champion: People Analytics / EX lead | Influencer/User: HRBP, engagement team
5. AI people-insights & analytics - Buyer: CHRO | Champion: People Analytics lead | Influencer/User: HRBP, HR Ops
6. Fitness challenges / stepathons - Buyer: CHRO / Head of Wellbeing | Champion: Engagement / Experience head | Influencer/User: HRBP, HR manager",P1_ABM_ICPSEQ-HRBP-EMPULS_US_EMAIL-LI_abmteam_04AUG26,HRBP (Empuls) buyer segment (6 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'HRBP' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 6 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,04-Aug-2026,Tue,ABM Team,ROW,"India, Middle East",HRBP (Empuls),P1,ICP Persona Sequence,Empuls,9 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
3. Employee engagement, experience & culture - Buyer: CHRO / CPO | Champion: Head of Employee Experience / People & Culture | Influencer/User: HRBP, engagement managers
4. Surveys, feedback, eNPS, moodometer, conversational agent - Buyer: CHRO | Champion: People Analytics / EX lead | Influencer/User: HRBP, engagement team
5. AI people-insights & analytics - Buyer: CHRO | Champion: People Analytics lead | Influencer/User: HRBP, HR Ops
6. Fitness challenges / stepathons - Buyer: CHRO / Head of Wellbeing | Champion: Engagement / Experience head | Influencer/User: HRBP, HR manager",P1_ABM_ICPSEQ-HRBP-EMPULS_ROW_EMAIL-LI_abmteam_04AUG26,HRBP (Empuls) buyer segment (6 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'HRBP' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 6 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,04-Aug-2026,Tue,ABM Team,Global,Europe,HRBP (Empuls),P1,ICP Persona Sequence,Empuls,9 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
3. Employee engagement, experience & culture - Buyer: CHRO / CPO | Champion: Head of Employee Experience / People & Culture | Influencer/User: HRBP, engagement managers
4. Surveys, feedback, eNPS, moodometer, conversational agent - Buyer: CHRO | Champion: People Analytics / EX lead | Influencer/User: HRBP, engagement team
5. AI people-insights & analytics - Buyer: CHRO | Champion: People Analytics lead | Influencer/User: HRBP, HR Ops
6. Fitness challenges / stepathons - Buyer: CHRO / Head of Wellbeing | Champion: Engagement / Experience head | Influencer/User: HRBP, HR manager",P1_ABM_ICPSEQ-HRBP-EMPULS_GLOBAL_EMAIL-LI_abmteam_04AUG26,HRBP (Empuls) buyer segment (6 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'HRBP' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 6 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,05-Aug-2026,Wed,ABM Team,US,USA,CPO (Empuls),P1,ICP Persona Sequence,Empuls,6 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Total Rewards Strategy - Buyer: CHRO / CPO | Champion: Head of Total Rewards / Comp & Benefits | Influencer/User: VP HR, HR Head
3. Employee engagement, experience & culture - Buyer: CHRO / CPO | Champion: Head of Employee Experience / People & Culture | Influencer/User: HRBP, engagement managers
4. Social intranet & internal communications - Buyer: CPO / CHRO (or Head of Comms) | Champion: Head of Internal Communications | Influencer/User: Corporate comms manager, IT",P1_ABM_ICPSEQ-CPO-EMPULS_US_EMAIL-LI_abmteam_05AUG26,CPO (Empuls) buyer segment (4 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'CPO' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 4 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,05-Aug-2026,Wed,ABM Team,ROW,"India, Middle East",CPO (Empuls),P1,ICP Persona Sequence,Empuls,6 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Total Rewards Strategy - Buyer: CHRO / CPO | Champion: Head of Total Rewards / Comp & Benefits | Influencer/User: VP HR, HR Head
3. Employee engagement, experience & culture - Buyer: CHRO / CPO | Champion: Head of Employee Experience / People & Culture | Influencer/User: HRBP, engagement managers
4. Social intranet & internal communications - Buyer: CPO / CHRO (or Head of Comms) | Champion: Head of Internal Communications | Influencer/User: Corporate comms manager, IT",P1_ABM_ICPSEQ-CPO-EMPULS_ROW_EMAIL-LI_abmteam_05AUG26,CPO (Empuls) buyer segment (4 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'CPO' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 4 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,05-Aug-2026,Wed,ABM Team,Global,Europe,CPO (Empuls),P1,ICP Persona Sequence,Empuls,6 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Total Rewards Strategy - Buyer: CHRO / CPO | Champion: Head of Total Rewards / Comp & Benefits | Influencer/User: VP HR, HR Head
3. Employee engagement, experience & culture - Buyer: CHRO / CPO | Champion: Head of Employee Experience / People & Culture | Influencer/User: HRBP, engagement managers
4. Social intranet & internal communications - Buyer: CPO / CHRO (or Head of Comms) | Champion: Head of Internal Communications | Influencer/User: Corporate comms manager, IT",P1_ABM_ICPSEQ-CPO-EMPULS_GLOBAL_EMAIL-LI_abmteam_05AUG26,CPO (Empuls) buyer segment (4 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'CPO' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 4 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,06-Aug-2026,Thu,ABM Team,US,USA,HR Ops (Empuls),P1,ICP Persona Sequence,Empuls,4 emails,"1. Employee gifting (onboarding, festivals, birthdays) - Buyer: Head of Total Rewards / HR Ops | Champion: HR Ops / HR manager | Influencer/User: Procurement head, HR admin
2. Rewards catalog & global fulfillment - Buyer: Head of Total Rewards / Procurement | Champion: HR Ops | Influencer/User: Comp & benefits team
3. AI people-insights & analytics - Buyer: CHRO | Champion: People Analytics lead | Influencer/User: HRBP, HR Ops",P1_ABM_ICPSEQ-HR-OPS-EMPULS_US_EMAIL-LI_abmteam_06AUG26,HR Ops (Empuls) buyer segment (3 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'HR Ops' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (1 of 4 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,06-Aug-2026,Thu,ABM Team,ROW,"India, Middle East, SEA, Africa",HR Ops (Empuls),P1,ICP Persona Sequence,Empuls,6 emails,"1. Employee gifting (onboarding, festivals, birthdays) - Buyer: Head of Total Rewards / HR Ops | Champion: HR Ops / HR manager | Influencer/User: Procurement head, HR admin
2. Rewards catalog & global fulfillment - Buyer: Head of Total Rewards / Procurement | Champion: HR Ops | Influencer/User: Comp & benefits team
3. Tax benefits and India flexi-benefits - Buyer: CFO / Finance Head | Champion: Payroll Head / HR Ops | Influencer/User: Comp & benefits, payroll team
4. AI people-insights & analytics - Buyer: CHRO | Champion: People Analytics lead | Influencer/User: HRBP, HR Ops",P1_ABM_ICPSEQ-HR-OPS-EMPULS_ROW_EMAIL-LI_abmteam_06AUG26,HR Ops (Empuls) buyer segment (4 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'HR Ops' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 4 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,06-Aug-2026,Thu,ABM Team,Global,Europe + rest of world,HR Ops (Empuls),P1,ICP Persona Sequence,Empuls,3 emails,"1. Rewards catalog & global fulfillment - Buyer: Head of Total Rewards / Procurement | Champion: HR Ops | Influencer/User: Comp & benefits team
2. AI people-insights & analytics - Buyer: CHRO | Champion: People Analytics lead | Influencer/User: HRBP, HR Ops",P1_ABM_ICPSEQ-HR-OPS-EMPULS_GLOBAL_EMAIL-LI_abmteam_06AUG26,HR Ops (Empuls) buyer segment (2 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'HR Ops' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (2 of 4 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,07-Aug-2026,Fri,ABM Team,US,USA,Benefits Head (Empuls),P1,ICP Persona Sequence,Empuls,4 emails,"1. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
2. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team
3. Lifestyle spending accounts & fringe benefits - Buyer: Head of Total Rewards / CHRO | Champion: Benefits Head / Benefits Manager | Influencer/User: Comp & benefits team, Finance / payroll",P1_ABM_ICPSEQ-BENEFITS-HEAD-EMPULS_US_EMAIL-LI_abmteam_07AUG26,Benefits Head (Empuls) buyer segment (3 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'Benefits Head' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 3 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,07-Aug-2026,Fri,ABM Team,ROW,"India, Middle East",Benefits Head (Empuls),P1,ICP Persona Sequence,Empuls,3 emails,"1. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
2. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team",P1_ABM_ICPSEQ-BENEFITS-HEAD-EMPULS_ROW_EMAIL-LI_abmteam_07AUG26,Benefits Head (Empuls) buyer segment (2 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'Benefits Head' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (1 of 3 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,07-Aug-2026,Fri,ABM Team,Global,Europe,Benefits Head (Empuls),P1,ICP Persona Sequence,Empuls,4 emails,"1. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
2. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team
3. Lifestyle spending accounts & fringe benefits - Buyer: Head of Total Rewards / CHRO | Champion: Benefits Head / Benefits Manager | Influencer/User: Comp & benefits team, Finance / payroll",P1_ABM_ICPSEQ-BENEFITS-HEAD-EMPULS_GLOBAL_EMAIL-LI_abmteam_07AUG26,Benefits Head (Empuls) buyer segment (3 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'Benefits Head' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 3 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,10-Aug-2026,Mon,ABM Team,US,USA,Benefits manager (Empuls),P1,ICP Persona Sequence,Empuls,3 emails,"1. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team
2. Lifestyle spending accounts & fringe benefits - Buyer: Head of Total Rewards / CHRO | Champion: Benefits Head / Benefits Manager | Influencer/User: Comp & benefits team, Finance / payroll",P1_ABM_ICPSEQ-BENEFITS-MANAGER-EMP_US_EMAIL-LI_abmteam_10AUG26,Benefits manager (Empuls) buyer segment (2 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'Benefits manager' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 2 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,10-Aug-2026,Mon,ABM Team,ROW,"India, Middle East",Benefits manager (Empuls),P1,ICP Persona Sequence,Empuls,1 emails,"1. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team",P1_ABM_ICPSEQ-BENEFITS-MANAGER-EMP_ROW_EMAIL-LI_abmteam_10AUG26,Benefits manager (Empuls) buyer segment (1 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'Benefits manager' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (1 of 2 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
,10-Aug-2026,Mon,ABM Team,Global,Europe,Benefits manager (Empuls),P1,ICP Persona Sequence,Empuls,3 emails,"1. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team
2. Lifestyle spending accounts & fringe benefits - Buyer: Head of Total Rewards / CHRO | Champion: Benefits Head / Benefits Manager | Influencer/User: Comp & benefits team, Finance / payroll",P1_ABM_ICPSEQ-BENEFITS-MANAGER-EMP_GLOBAL_EMAIL-LI_abmteam_10AUG26,Benefits manager (Empuls) buyer segment (2 use cases spanning Empuls),Planned,,,"Job-title cluster - every use case mentioning 'Benefits manager' anywhere in Buyer/Champion/Influencer is included, even if this title appears only once overall. Only use cases whose Target Geographies name this region are listed here (0 of 2 excluded as not applicable to this region). Needs account list built + Apollo enrichment before send."
